CODGEO;LIBGEO;NBMEN15;NBPERS15;NBUC15;PMIMP15;Q115;Q215;Q315;Q3_Q1;D115;D215;D315;D415;D615;D715;D815;D915;RD;S80S2015;GI15;PACT15;PTSA15;PCHO15;PBEN15;PPEN15;PAUT15
01072;Ceyzériat;1279,0;3018,5;2032,5;68;17354,0;23306,0;31332,0;13978,0;11556,0;15436,0;18462,0;20838,0;25668,0;29120,0;34120,0;41558,0;3,6;4,7;0,3;69,1;61,6;2,2;5,3;26,1;4,8
01073;Ceyzérieu;441,0;1036,0;706,0;;;21728,0;;;;;;;;;;;;;;;;;;;
01074;Chalamont;936,0;2264,5;1508,2;55;14954,0;20890,0;27498,0;12544,0;9928,0;13312,0;16048,0;18664,0;23158,0;26170,0;29686,0;35654,0;3,6;5,2;0,3;74,2;68,7;2,4;3,0;21,7;4,1
01075;Chaleins;473,0;1319,0;842,5;;;22708,0;;;;;;;;;;;;;;;;;;;
01076;Chaley;76,0;152,0;111,0;;;19986,0;;;;;;;;;;;;;;;;;;;
01077;Challes-la-Montagne;91,0;191,0;133,8;;;20208,0;;;;;;;;;;;;;;;;;;;
01078;Challex;501,0;1248,0;821,6;;;42071,0;;;;;;;;;;;;;;;;;;;
01079;Champagne-en-Valromey;298,0;669,5;458,5;;;19154,0;;;;;;;;;;;;;;;;;;;
01080;Champdor-Corcelles;274,0;651,0;438,2;;;20462,0;;;;;;;;;;;;;;;;;;;
01081;Champfromier;300,0;704,5;479,1;;;22474,0;;;;;;;;;;;;;;;;;;;
01082;Chanay;215,0;538,0;354,5;;;23750,0;;;;;;;;;;;;;;;;;;;
01083;Chaneins;332,0;889,5;578,4;;;22584,0;;;;;;;;;;;;;;;;;;;
01084;Chanoz-Châtenay;307,0;825,5;531,4;;;20168,0;;;;;;;;;;;;;;;;;;;
01085;La Chapelle-du-Châtelard;147,0;383,0;249,0;;;21306,0;;;;;;;;;;;;;;;;;;;
01087;Charix;116,0;285,5;190,4;;;23470,0;;;;;;;;;;;;;;;;;;;
01088;Charnoz-sur-Ain;336,0;937,5;603,0;;;26358,0;;;;;;;;;;;;;;;;;;;
01089;Château-Gaillard;769,0;2081,0;1335,9;59;15776,0;22210,0;28628,0;12852,0;10984,0;14384,0;17702,0;19884,0;24400,0;27262,0;30322,0;35788,0;3,3;3,8;0,2;76,1;68,6;3,3;4,2;20,9;3,0
01090;Châtenay;143,0;339,5;226,7;;;20746,0;;;;;;;;;;;;;;;;;;;
01091;Châtillon-en-Michaille;1320,0;3505,5;2272,7;58;17526,0;25882,0;37712,0;20186,0;10862,0;16010,0;19358,0;22330,0;30228,0;34666,0;41284,0;51748,0;4,8;6,4;0,3;74,7;68,3;3,6;2,8;18,6;6,7
01092;Châtillon-la-Palud;628,0;1648,5;1074,5;;;22372,0;;;;;;;;;;;;;;;;;;;
01093;Châtillon-sur-Chalaronne;2097,0;4558,0;3189,9;56;15056,0;20540,0;27658,0;12602,0;9362,0;13582,0;16226,0;18272,0;22782,0;25732,0;29928,0;37516,0;4,0;5,2;0,3;62,8;55,9;2,9;4,0;31,7;5,5
01094;Chavannes-sur-Reyssouze;314,0;778,5;518,6;;;19856,0;;;;;;;;;;;;;;;;;;;
01095;Chavannes-sur-Suran;265,0;628,0;421,3;;;19966,0;;;;;;;;;;;;;;;;;;;
01096;Chaveyriat;372,0;1005,5;650,1;;;20412,0;;;;;;;;;;;;;;;;;;;
01097;Chavornay;100,0;212,0;150,8;;;20884,0;;;;;;;;;;;;;;;;;;;
01098;Chazey-Bons;364,0;939,0;615,8;;;19544,0;;;;;;;;;;;;;;;;;;;
01099;Chazey-sur-Ain;624,0;1548,0;1030,3;;;24132,0;;;;;;;;;;;;;;;;;;;
01100;Cheignieu-la-Balme;72,0;142,5;103,8;;;18236,0;;;;;;;;;;;;;;;;;;;
01101;Chevillard;71,0;165,0;114,0;;;23680,0;;;;;;;;;;;;;;;;;;;
01102;Chevroux;364,0;949,0;614,5;;;21248,0;;;;;;;;;;;;;;;;;;;
01103;Chevry;588,0;1475,5;968,2;;;40216,0;;;;;;;;;;;;;;;;;;;
01104;Chézery-Forens;187,0;443,5;298,8;;;23322,0;;;;;;;;;;;;;;;;;;;
01105;Civrieux;625,0;1722,0;1104,7;;;25966,0;;;;;;;;;;;;;;;;;;;
