CODGEO;LIBGEO;C15_ACTOCC15P_ILT1;C15_ACTOCC15P_ILTAUT;C15_ACTOCC15P
08479;Villers-le-Tourneur;14;105;120
08480;Villers-Semeuse;315;1037;1353
08481;Villers-sur-Bar;10;97;107
08482;Villers-sur-le-Mont;15;45;60
08483;Ville-sur-Lumes;35;205;240
08484;Ville-sur-Retourne;10;39;48
08485;Villy;25;55;80
08486;Vireux-Molhain;136;430;566
08487;Vireux-Wallerand;207;704;911
08488;Vivier-au-Court;393;702;1095
08489;Voncq;15;55;70
08490;Vouziers;1063;510;1573
08491;Vrigne aux Bois;338;989;1327
08492;Vrigne-Meuse;15;125;140
08494;Wadelincourt;5;226;231
08496;Wagnon;10;43;52
08497;Warcq;101;384;485
08498;Warnécourt;20;115;135
08499;Wasigny;47;79;127
08500;Wignicourt;5;16;21
08501;Williers;0;27;27
08502;Yoncq;8;21;29
08503;Yvernaumont;10;55;65
09001;Aigues-Juntes;10;30;40
09002;Aigues-Vives;40;225;265
09003;L'Aiguillon;10;125;135
09004;Albiès;10;51;61
09005;Aleu;20;8;27
09006;Alliat;0;20;20
09007;Allières;15;20;35
09008;Alos;35;15;50
09009;Alzen;58;29;87
09011;Antras;5;5;10
09012;Appy;0;16;16
09013;Arabaux;0;23;23
09014;Argein;15;30;45
09015;Arignac;40;192;232
09016;Arnave;10;78;88
09017;Arrien-en-Bethmale;12;21;33
09018;Arrout;5;15;20
09019;Artigat;84;134;218
09020;Artigues;5;5;10
09021;Artix;21;36;57
09022;Arvigna;26;77;102
09023;Ascou;36;24;60
09024;Aston;44;85;130
09025;Aucazein;16;11;26
09026;Audressein;25;25;50
09027;Augirein;20;0;20
09028;Aulos;0;20;20
09029;Aulus-les-Bains;55;0;55
09030;Auzat;105;63;168
09031;Axiat;8;8;17
09032;Ax-les-Thermes;385;177;562
09033;Bagert;7;4;11
09034;Balacet;0;10;10
09035;Balaguères;16;63;79
09037;Barjac;5;15;21
09038;La Bastide-de-Besplas;55;85;140
09039;La Bastide-de-Bousignac;32;94;127
09040;La Bastide-de-Lordat;21;132;152
09041;La Bastide-du-Salat;5;63;68
09042;La Bastide-de-Sérou;185;150;335
09043;La Bastide-sur-l'Hers;21;149;170
09044;Baulou;0;70;70
09045;Bédeilhac-et-Aynat;10;63;73
09046;Bédeille;0;10;10
09047;Bélesta;108;217;325
09048;Belloc;9;9;19
09049;Bénac;20;50;70
09050;Benagues;10;200;209
09051;Bénaix;10;75;85
09052;Besset;10;30;40
09053;Bestiac;5;10;15
09054;Betchat;14;72;86
09055;Bethmale;24;24;47
